section	source_file	source_sha256	level	annotation	positive_markers	exclusion_markers	primary_interpretation	auxiliary_source	decision_rule	cluster	variable	N	fraction
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Enteroendocrine	CHGA;CHGB;SCGN;FEV;NEUROD1;PCSK1N;PYY;GCG	MUC2;BEST4;POU2F3;MKI67	Enteroendocrine epithelial lineage	Becker et al. enteroendocrine markers	Require neuroendocrine granule and differentiation markers	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Tuft	POU2F3;TRPM5;IL17RB;AVIL;GNG13;LRMP;SH2D6	MUC2;CHGA;BEST4;MKI67	Tuft epithelial lineage	Becker et al. tuft markers	Require multiple tuft-lineage markers because individual markers are not specific	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Regenerative_like	REG1A;REG1B;REG3A;KRT23;KRT17;CEACAM6;TACSTD2;ANXA1;IFITM1	KRT20;CA1;BEST4;CHGA	Regenerative or lesion-associated epithelial program	Data-derived candidate; not prespecified as a mechanism	Use regenerative-like label blind to stage; upgrade to adenoma-associated only after multi-donor stage audit	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Adenoma_like	REG1A;REG1B;REG3A;KRT23;KRT17;CEACAM6;TACSTD2;ANXA1;IFITM1	KRT20;CA1;BEST4;CHGA	A marker-defined regenerative or lesion-associated state reproducibly enriched in adenoma samples	Data-derived label assigned only after marker-blinded review and multi-donor context audit	Do not assign from sample origin alone; require coherent marker evidence plus representation in multiple adenoma donors and document any normal or cancer representation	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Other_uncertain	EPCAM;KRT8;KRT18	PTPRC;COL1A1;PECAM1	Epithelial cluster without sufficient evidence for a stable named epithelial-state label	Marker-blinded self-review	Require broad epithelial identity but retain as uncertain rather than forcing a specific lineage label	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	malignancy	Candidate_malignant_epithelial	CopyKAT_aneuploid	PTPRC;COL1A1;PECAM1;CopyKAT_diploid	Aneuploid epithelial cells or donor-clusters supported by CopyKAT	CopyKAT method	Do not call malignancy from tumor origin or EPCAM alone; require CNV support and epithelial identity	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	malignancy	Likely_non_malignant_epithelial	CopyKAT_diploid	CopyKAT_aneuploid	Diploid epithelial cells or donor-clusters supported by CopyKAT	CopyKAT method	Normal-tissue origin is supportive context only and not sufficient by itself	NA	NA	NA	NA
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	5	donor_id	1122	0.115933044017359
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	0	donor_id	4963	0.115126771671809
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	9	donor_id	780	0.141329951078094
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	20	donor_id	15	0.0619834710743802
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	1	donor_id	2876	0.162339128471438
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	2	donor_id	2243	0.132330383480826
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	6	donor_id	1117	0.120587282737774
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	3	donor_id	1525	0.111330121185575
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	8	donor_id	1136	0.143724696356275
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	14	donor_id	221	0.132414619532654
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	11	donor_id	1037	0.208988311164853
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	7	donor_id	1712	0.201080573173596
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	4	donor_id	1273	0.10940185630801
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	12	donor_id	354	0.106115107913669
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	16	donor_id	96	0.0951437066402379
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	10	donor_id	860	0.163871951219512
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	18	donor_id	36	0.0649819494584838
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	15	donor_id	340	0.234806629834254
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	13	donor_id	153	0.0684870188003581
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	17	donor_id	5	0.00561797752808989
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	19	donor_id	1	0.00180831826401447
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A001	NA	NA	NA	NA	NA	NA	21	donor_id	10	0.133333333333333
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	6	donor_id	3576	0.386052034977869
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	5	donor_id	3434	0.354825377144038
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	1	donor_id	5842	0.329758410476406
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	3	donor_id	5661	0.413272010512484
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	2	donor_id	3091	0.1823598820059
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	0	donor_id	17410	0.403859982834211
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	11	donor_id	1480	0.298266827891979
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	7	donor_id	1721	0.202137655626028
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	4	donor_id	4366	0.375214850464077
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	14	donor_id	360	0.215698022768125
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	8	donor_id	2611	0.330339068825911
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	9	donor_id	929	0.168327595578909
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	12	donor_id	1155	0.346223021582734
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	16	donor_id	394	0.390485629335976
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	15	donor_id	583	0.402624309392265
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	10	donor_id	993	0.18921493902439
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	18	donor_id	124	0.223826714801444
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	13	donor_id	387	0.173231871083259
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	20	donor_id	13	0.0537190082644628
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	17	donor_id	3	0.00337078651685393
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	22	donor_id	11	0.34375
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A002	NA	NA	NA	NA	NA	NA	21	donor_id	22	0.293333333333333
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	2	donor_id	1233	0.0727433628318584
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	0	donor_id	1265	0.0293442204644042
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	10	donor_id	293	0.0558307926829268
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	1	donor_id	205	0.0115714608263716
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	6	donor_id	208	0.0224549282090036
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	9	donor_id	351	0.0635984779851422
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	7	donor_id	310	0.0364106178059666
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	4	donor_id	263	0.0226022688209007
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	5	donor_id	331	0.0342012812564579
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	3	donor_id	474	0.0346035917652212
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	11	donor_id	54	0.0108827085852479
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	16	donor_id	23	0.022794846382557
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	14	donor_id	52	0.0311563810665069
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	13	donor_id	154	0.0689346463742167
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	8	donor_id	40	0.00506072874493927
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	15	donor_id	25	0.0172651933701657
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	18	donor_id	52	0.0938628158844765
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	20	donor_id	3	0.012396694214876
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	17	donor_id	1	0.00112359550561798
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A008	NA	NA	NA	NA	NA	NA	12	donor_id	173	0.0518585131894484
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	3	donor_id	78	0.00569426193604906
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	0	donor_id	462	0.0107170196478694
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	9	donor_id	40	0.00724768979887661
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	11	donor_id	41	0.00826279725916969
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	6	donor_id	96	0.0103638130195401
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	7	donor_id	210	0.0246652572233968
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	4	donor_id	139	0.0119456858026813
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	1	donor_id	51	0.00287875366899977
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	10	donor_id	70	0.0133384146341463
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	2	donor_id	37	0.00218289085545723
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	16	donor_id	16	0.0158572844400396
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	5	donor_id	47	0.00485637528414962
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	14	donor_id	19	0.0113840623127621
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	15	donor_id	6	0.00414364640883978
donor_composition	results/05C_annotation/epithelial_cluster_composition.tsv	8237bdcbfc9b2c78b3509a3428c2ca511531fe8dbf84baf7bb4c8c52e322d117	A010	NA	NA	NA	NA	NA	NA	18	donor_id	2	0.0036101083032491
