section	source_file	source_sha256	claim_id	parent_claim_id	frozen_claim	evidence_level	dataset_or_branch	patients_or_units	independence	statistical_unit	frozen_numeric_or_status	abstract	main_text	supplement	planned_display	source_data	generating_script	mandatory_qualifier	prohibited_expansion	freeze_status	evidence_id	stage	dataset	patients_n	lesion_type	genetic_background	paired	inferential_unit	canonical_module_size	actual_mapped_genes	primary_result_status	descriptive_result	ci_p_fdr_available	limitations	strongest_allowed_statement	manuscript_placement	source_files
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC11	CLM20	GSE132465 provided auxiliary cancer-versus-normal and epithelial-specificity context.	AUXILIARY_CANCER_CONTEXT	GSE132465	8 evaluable matched cancer-normal donors	Independent cancer-endpoint cohort	Donor paired difference	Cancer-normal effect 1.05599; 95% CI 0.72208 to 1.38990; FDR 0.000420; epithelial-specificity effect 0.58136; FDR 1.85e-08	NO	Brief Results R6	YES	Table 2; Figure S4; Table S5	results_final/stage_7_replication_summary.tsv;results_final/stage_7_epithelial_specificity_donor_differences.tsv	scripts/07_run_replication_models.R	No adenoma endpoint; auxiliary context only.	Adenoma initiation; progression mechanism	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC12	CLM20	TCGA-COAD provided auxiliary cancer-normal and clinical context, not adenoma-onset evidence.	AUXILIARY_CANCER_CONTEXT	TCGA-COAD	41 paired cancer-normal patients; 458 donors overall	Independent cancer-endpoint cohort	Patient	Paired cancer-normal effect 1.82138; 95% CI 1.52197 to 2.12080; no pathologic-stage or overall-survival association after FDR	NO	Brief Results R6	YES	Table 2; Figure S5; Table S6	results_final/stage_8B_bulk_validation_summary.tsv	scripts/08B_tcga_auxiliary.R	TCGA has no adenoma endpoint; MSI/CMS are context only.	Adenoma-cancer progression; prognostic biomarker	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC13	CLM07;CLM21	The locked stool model did not show useful independent-test discrimination.	NEGATIVE_TRANSLATIONAL_RESULT	GSE99573	65 immutable test participants: 22 normal, 20 adenoma, 23 CRC	One test cohort used once and retired	Participant	Adenoma AUC 0.500; cancer AUC 0.500; adenoma-or-cancer AUC 0.5296 with 95% CI 0.380 to 0.679	YES_CONCISE_NEGATIVE	Results R7 concise paragraph	YES_DETAILS	Figure 5 (negative-translation status); Table 2; Figure S7; Table S9	results_final/stage_9C_stool_test_results.tsv;results_final/stage_9C_stool_test_predictions_source_data.tsv	scripts/09C_test_once.R;scripts/09C_render_figures.R	Detailed ROC, calibration and threshold results remain supplementary; test set cannot be reused.	Biomarker potential; model rescue or retraining	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC14	CLM22	The frozen 30-gene E-GEAD-622 implementation passed technical pseudo-spot checks but supplied no biological evidence.	TECHNICAL_ONLY	E-GEAD-622	Pseudo-spots; no biological patient count	Same spatial accession; technical simulation only	Technical pseudo-spot	TECHNICALLY_VALID with 30/36 common mapped genes	NO	Methods only	YES	Figure S8; Table S10	results/stage10d_tech/STAGE10D_TECH_PRIMARY_SCORE_RESULTS.tsv;results/stage10d_tech/STAGE10D_TECH_DECISION.md	scripts/10D_TECH_pseudospot_validation.R	Pseudo-spots are not patients or spatial biological replication.	Spatial support; biological validation	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC15	CLM22	Only case4 passed the frozen spatial ROI registration gate.	SPATIAL_QC_LIMIT	E-GEAD-622	1 of 4 patients passed; minimum 3 required	Same spatial accession	Patient eligibility	case1, case2 and case3 failed; case4 passed; Stage 10F threshold not met	YES_AS_NOT_ESTIMABLE_LIMIT	Results R7	YES_DETAILS	Figure 5 (spatial-boundary status: 1/4 eligible and patient-level NOT_ESTIMABLE only); Figure S9; Table S11	results/stage10e_roi_remediation/STAGE10E_R_PATIENT_ELIGIBILITY.tsv;results/stage10e_roi_remediation/STAGE10E_R_ROI_AGREEMENT.tsv	scripts/10E_R_roi_registration.py	case3 is excluded, not near-pass biological evidence.	Four-patient spatial cohort; near-pass evidence	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC16	CLM22	case4 provided a single-patient descriptive, method-dependent spatial localization only.	SUPPLEMENTARY_DESCRIPTIVE_ONLY	E-GEAD-622 case4	1 patient	Same spatial accession; not an independent cohort	Patient by frozen ROI descriptive score	30/36; adenoma-minus-normal primary difference -0.28395; no CI, P value or FDR; DESCRIPTIVE_METHOD_DEPENDENT	NO	NO	YES	Figure S10; Table S12	results/stage10e_desc/STAGE10E_DESC_CASE4_SCORES.tsv;results/stage10e_desc/STAGE10E_DESC_SENSITIVITY.tsv	scripts/10E_DESC_case4_descriptive.R	Label n=1 and descriptive only; spots and tiles are nested.	Spatial validation; spatial support; population inference	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC17	CLM07;CLM22	Patient-level spatial inference was not estimable and the mechanism branch was not run.	NOT_ESTIMABLE_AND_SKIPPED	E-GEAD-622 Stage 10F/10G	1 eligible patient of minimum 3	Same spatial accession	Patient gate	Stage 10F=SKIPPED_NOT_ESTIMABLE; Stage 10G=SKIPPED_GATE_NOT_MET	YES	Results R7	YES	Figure 5; Table 2; Table S13	results/stage10fg/STAGE10FG_BRANCH_CLOSURE.tsv;results/stage10fg/STAGE10FG_DECISION.md	NA	Not-estimable is not a negative M02 effect; no mechanism result exists.	Negative spatial effect; absence of mechanism	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC18	CLM08;CLM23	The integrated evidence remained Level C and defines reproducibility boundaries rather than validation.	LEVEL_C_INTEGRATED	All evidence branches	Patient counts remain dataset-specific; no composite total	Datasets counted once according to the independence audit	Patient/donor, participant, accession effect, or explicitly non-inferential unit	LEVEL_C_PROCEED_WITH_REFRAMING; sporadic generalization and patient-level spatial inference not established	YES	Results R8 and Discussion	YES_FULL_MATRIX	Figure 5; Table 1 (evidence role and boundary architecture only); Table S14; Table S15	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv;results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	scripts/11A_build_freeze_manifest.py	No vote-counting across analyses or sensitivities; negative and not-estimable outcomes remain visible.	Overall validation; mechanism; biomarker; general sporadic carcinogenesis	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	discovery_cohort;_not_external	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E01	Stage_6A_primary	GSE201348	14_total_donors;_eligible_state_counts_normal_6_adenoma_8-9_cancer_3-4	normal_mucosa;_polyp_or_adenoma;_cancer	mixed_FAP_and_nonFAP_with_stage_imbalance	repeated_donor_stages_not_fully_paired	donor_pseudobulk	NA_M02_not_a_prespecified_primary_endpoint	NA	NEGATIVE_PRIMARY_DISCOVERY	No_normal-to-adenoma_gene_reached_FDR_below_0.05;_zero_primary_candidate_programs	YES_for_gene-level_results	Underpowered_donor_counts;_FAP_and_stage_imbalance;_M02_was_formed_only_in_a_later_exploratory_amendment	The_prespecified_gene-level_early-transition_analysis_was_negative	ABSTRACT_AND_MAIN_TEXT_MANDATORY	reports/stage_6A_pseudobulk_discovery.md
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	internal_reuse_of_discovery_cohort;_zero_additional_independent_cohorts	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E02	Stage_6A_amendment_and_10C	GSE201348	4_paired_FAP_donors	normal_mucosa_to_adenoma	FAP;_germline_APC_context_not_separately_estimable_in_current_design	YES	donor	36	36	INTERNAL_FAP_EXPLORATORY_SUPPORT	All_epithelial_effect_1.276_CI_0.243_to_2.310_P_0.0293_FDR_0.0586_trend;_Stem_progenitor_effect_0.778_CI_0.066_to_1.491_P_0.0402_FDR_0.0482_borderline	YES	Only_four_paired_FAP_patients;_sporadic_effect_and_stage_by_FAP_or_APC_interaction_NOT_ESTIMABLE;_post-hoc_stage-blind_module	M02_is_a_FAP/adenoma-associated_exploratory_epithelial_stem/progenitor_module	ABSTRACT_WITH_MANDATORY_QUALIFIERS_AND_MAIN_TEXT	results/stage10c/STAGE10C_CLAIM_CEILING.md;results/stage10c/STAGE10C_DECISION.md
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	one_independent_early_single-cell_cohort_counted_once	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E03	Stage_7_and_10C_re-report	GSE161277	3_matched_patients	normal_mucosa;_adenoma;_carcinoma	FAP/APC_status_not_established_for_project-level_generalization	YES	donor	36	36	DIRECTIONAL_SUPPORT_ONLY	Normal-to-adenoma_effect_1.645_CI_0.592_to_2.698_P_0.0214_FDR_0.128;_LODO_direction_1.0	YES	Only_three_patients;_wide_CI;_same_accession_appears_in_Stage_7_and_10C_but_is_one_dataset	Directionally_consistent_but_underpowered_three-patient_early-lesion_evidence	ABSTRACT_WITH_SMALL_COHORT_QUALIFIER_AND_MAIN_TEXT	results_final/stage_7_replication_summary.tsv;results/stage10c/STAGE10C_CLAIM_CEILING.md
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	independent_cancer-endpoint_single-cell_cohort	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E04	Stage_7	GSE132465	8_evaluable_matched_donors_of_23_total	normal_mucosa_to_cancer	unselected_CRC_hereditary_status_not_used	YES	donor	36	33	CANCER_ENDPOINT_AND_EPITHELIAL_SPECIFICITY_SUPPORT	Cancer-to-normal_effect_1.056_CI_0.722_to_1.390_FDR_0.000420;_epithelial_specificity_effect_0.581_CI_0.441_to_0.722_FDR_1.85e-08	YES	Contains_no_adenoma_endpoint;_cannot_support_adenoma_initiation_or_FAP_generalization	M02_is_detectable_in_epithelial_cells_and_differs_at_the_cancer_endpoint_in_this_cohort	MAIN_TEXT_AS_AUXILIARY_CANCER_SPECIFICITY_EVIDENCE	results_final/stage_7_replication_summary.tsv;reports/stage_7_singlecell_replication.md
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	one_LST-G_sensitivity_cohort;_low_but_not_zero_unreported_overlap_risk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E05	Stage_10C3	Figshare_29925404	7_total_patients;_2_same-site_matched_patients_P1_and_P5	LST-G;_protruded_adenoma;_normal	FAP_status_NA;_germline_APC_status_NA	YES_for_P1_and_P5_only	patient	36	33/36_primary_feature_space;_29/36_coverage_sensitivity;_32/35_INPP5D-minus_available	NOT_ESTIMABLE	Primary_36/36_unavailable;_29/36_M02-minus-INPP5D_gene-z_and_UCell_all_positive_in_P1_and_P5	NO_primary_CI_P_or_FDR	Only_two_matched_donors;_three_primary_genes_absent;_hereditary_status_unknown;_LST-G_not_equivalent_to_ordinary_sporadic_adenoma;_Stem/progenitor_secondary_not_estimable	The_locked_M02_showed_positive_descriptive_sensitivity_behavior_in_two_matched_normal-LST-G_donors_with_unknown_hereditary_status	SUPPLEMENTARY_ONLY	results/stage10c3/STAGE10C3_POSTLOCK_ADDENDUM.md;results/stage10c3/STAGE10C3_DECISION.md
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	independent_bulk_accession;_patient_independence_not_verifiable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E06	Stage_8B	GSE41657	NA_patient_identity;_88_sample-scoped_arrays	normal;_low-grade_adenoma;_high-grade_adenoma;_cancer	hereditary_background_not_reported	NO_verified_pairing	array/sample_scoped_unit	36	29	BULK_ADENOMA_ASSOCIATION_SUPPORT	Adenoma-to-normal_effect_2.420_CI_2.215_to_2.626_FDR_1.49e-31;_ordered_trend_positive;_cancer-to-adenoma_effect_negative	YES	Patient_identifiers_not_recoverable;_colon-versus-rectum_unresolved;_platform_incomplete_mapping;_not_cell-type-specific	M02_bulk_expression_is_higher_in_adenoma_than_normal_in_this_sample-scoped_tissue_cohort	MAIN_TEXT_WITH_PATIENT-INDEPENDENCE_LIMITATION	reports/stage_8B_bulk_validation.md;${CRC_PROJECT_ROOT}/results/08A_bulk_preprocessing/20260729_105540/GSE41657/locked_module_mapping_summary.tsv
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	independent_bulk_accession;_donor_matching_key_unavailable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E07	Stage_8B	GSE100179	NA_verified_patients;_60_sample-scoped_arrays	normal;_adenoma;_cancer	hereditary_background_not_reported	NO_verified_pairing	array/sample_scoped_unit	36	32	BULK_ADENOMA_ASSOCIATION_SUPPORT	Adenoma-to-normal_effect_2.080_CI_1.832_to_2.327_FDR_1.38e-18;_ordered_trend_positive;_cancer-to-adenoma_effect_negative	YES	No_verified_donor_key;_platform_incomplete_mapping;_not_cell-type-specific	M02_bulk_expression_is_higher_in_adenoma_than_normal_in_this_sample-scoped_tissue_cohort	MAIN_TEXT_WITH_PATIENT-INDEPENDENCE_LIMITATION	reports/stage_8B_bulk_validation.md;${CRC_PROJECT_ROOT}/results/08A_bulk_preprocessing/20260729_105540/GSE100179/locked_module_mapping_summary.tsv
dataset_roles	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	NA	NA	NA	NA	NA	NA	independent_bulk_accession	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	E08	Stage_8B	GSE8671	32_verified_matched_patients	normal_mucosa_to_adenoma	hereditary_background_not_reported	YES	patient_pair	36	29	BULK_PAIRED_ADENOMA_ASSOCIATION_SUPPORT	Paired_adenoma-to-normal_effect_1.846_CI_1.666_to_2.026_FDR_4.59e-19;_all_leave-one-pair-out_directions_retained	YES	Bulk_tissue_not_epithelial-specific;_platform_incomplete_mapping;_does_not_resolve_FAP_or_sporadic_etiology	M02_bulk_expression_is_higher_in_adenoma_than_matched_normal_tissue_in_32_verified_pairs	ABSTRACT_OR_MAIN_TEXT_AS_BULK_SUPPORT	results_final/stage_8B_bulk_validation_summary.tsv;reports/stage_8B_bulk_validation.md;${CRC_PROJECT_ROOT}/results/08A_bulk_preprocessing/20260729_105540/GSE8671/locked_module_mapping_summary.tsv
