section	source_file	source_sha256	evidence_id	stage	dataset	patients_n	lesion_type	genetic_background	paired	independence	inferential_unit	canonical_module_size	actual_mapped_genes	primary_result_status	descriptive_result	ci_p_fdr_available	limitations	strongest_allowed_statement	manuscript_placement	source_files	stages_using_dataset	project_patient_or_sample_scope	reused_within_project	independent_early_cohort_credit	overlap_audit	known_overlap	residual_overlap_or_independence_risk	counting_rule	permitted_role	record_id	stage_or_patient	roi_registration	paired_technical_coverage	mapped_genes	locked_status_or_result	statistical_inference	allowed_evidence_role	mandatory_limitation	prohibited_interpretation	source
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E11	Stage_9A_to_9C	GSE99573	65_independent_test_participants:_22_normal_20_adenoma_23_CRC	stool_RNA_normal;_adenoma;_cancer	hereditary_background_not_reported	NO	one_accession;_test_split_used_once_and_retired	participant	36_platform_detectability_audit_for_M02	31_mapped;_27_detectable	NEGATIVE_EXPLORATORY_TRANSLATIONAL_RESULT	Adenoma-versus-normal_AUC_0.500_CI_0.500_to_0.500;_cancer-versus-normal_AUC_0.500;_composite_AUC_0.530_CI_0.380_to_0.679	YES	Locked_models_were_constant_or_nearly_constant;_no_clinical_baseline_covariates;_test_set_cannot_be_reused	The_locked_stool_model_did_not_show_useful_independent-test_discrimination	ABSTRACT_AND_MAIN_TEXT_OR_LIMITATIONS_MANDATORY	results_final/stage_9C_stool_test_results.tsv;reports/stage_9C_external_test.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E12	Stage_10D_TECH_and_10E_QC	E-GEAD-622	4_patients;_4_FFPE_slides	pTis_sections_with_Normal;_Adenoma;_Carcinoma;_Other_regions	hereditary_background_not_reported	planned_same-section_pairing	one_spatial_accession_reused_across_technical_QC_and_description	patient_for_any_biological_inference;_pseudo-spots_only_for_technical_validation	36	30	TECHNICALLY_VALID_BUT_NO_BIOLOGICAL_RESULT	Fixed_30-gene_score_passed_pseudo-spot_technical_validation;_blind_spatial_QC_preserved_patient_nesting	NO_biological_CI_P_or_FDR	Technical_simulations_do_not_supply_spatial_biological_evidence;_ROI_registration_gate_later_failed_in_three_patients	The_frozen_30-gene_implementation_was_technically_usable_in_E-GEAD-622	METHODS_OR_SUPPLEMENTARY_ONLY	results/stage10d_tech/STAGE10D_TECH_DECISION.md;results/stage10e/STAGE10E_DECISION.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E13	Stage_10E_DESC	E-GEAD-622_case4	1_patient	normal_ROI_to_adenoma_ROI_in_one_pTis_section	hereditary_background_not_reported	YES_within_case4_frozen_ROIs	same_E-GEAD-622_dataset;_not_an_independent_validation_cohort	patient	36	30	DESCRIPTIVE_METHOD_DEPENDENT	Adenoma-minus-Normal_primary_difference_-0.284;_INPP5D-minus_UCell_composition_and_tile_sensitivities_negative;_gene-z_numerically_zero	NO_by_design	Single_patient;_spots_and_tiles_nested;_no_P_CI_or_FDR;_cannot_support_population_or_spatial_inference	In_case4_only_the_frozen_ROI_descriptive_score_was_lower_in_adenoma_than_normal_and_method-dependent_across_prespecified_scores	SUPPLEMENTARY_ONLY	results/stage10e_desc/STAGE10E_DESC_DECISION.md;results/stage10e_desc/STAGE10E_DESC_SENSITIVITY.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E14	Stage_10F	E-GEAD-622	1_of_4_passed_ROI_gate;_minimum_required_3	patient-level_adenoma_minus_normal_spatial_estimand	hereditary_background_not_reported	insufficient_eligible_pairs	same_spatial_accession;_no_completed_patient-level_analysis	patient	36	30	SKIPPED_NOT_ESTIMABLE	No_patient-level_spatial_effect_CI_P_or_FDR_exists	NO	Three_patients_failed_frozen_ROI_registration;_case3_is_excluded_and_not_near-pass_evidence;_insufficient_eligible_patients_not_a_negative_M02_result	Patient-level_spatial_generalization_was_not_estimable_because_ROI_registration_coverage_was_insufficient	ABSTRACT_LIMITATION_OR_MAIN_LIMITATIONS	results/stage10fg/STAGE10FG_DECISION.md;results/stage10e_roi_remediation/STAGE10E_R_PATIENT_ELIGIBILITY.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE201348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5A-6A;10C	14_donors_in_primary_discovery;_4_paired_FAP_donors_for_M02	YES	0_additional	Same_accession_and_donor-level_inputs_reused	Stage_10C_is_internal_reanalysis_of_discovery_cohort	Some_public_donor_labels_are_ambiguous_but_not_the_four_paired_M02_donors	Count_once_as_discovery/internal_FAP_evidence	Primary_negative_discovery_and_internal_FAP_exploratory_evidence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE161277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7;10C	3_fully_matched_early-lesion_patients	YES	1_total	Stage_10C_re-reports_the_same_Stage_7_accession	Exact_same_public_cohort_across_two_stages	De-identified_cross-accession_patient_overlap_not_formally_provable	Count_once_only_regardless_of_stages_or_multiple_contrasts	Small_independent_directional_early-lesion_evidence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE132465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	23_total;_8_evaluable_matched_cancer-normal_donors	NO	0_for_adenoma_onset	No_technical_embedding_or_declared_overlap_with_discovery_detected	None_known	De-identified_patient_overlap_not_formally_excludable	Count_once_as_cancer-endpoint_dataset_not_as_early-lesion_replication	Cancer-normal_and_epithelial-specificity_support_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	Figshare_29925404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10C2-SC-B;10C3	7_patients;_2_matched_normal-LST-G_donors	YES	1_directional_sensitivity_dataset_not_confirmatory	Archive_contains_only_10_study_matrices;_no_embedded_GSE161277_GSE201348_or_GSE261388_matrix	No_technical_overlap_detected	Unreported_de-identified_patient_overlap_risk_low_but_not_zero	Count_once_as_one_LST-G_sensitivity_cohort	Descriptive_sensitivity_only;_primary_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE41657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8A;8B	88_sample-scoped_arrays	YES	1_bulk_accession	Analyzed_separately_from_other_platforms	None_known	Patient_identifiers_and_patient_independence_not_recoverable	Count_once_at_accession_level;_do_not_claim_88_verified_independent_patients	Exploratory_bulk_tissue_support	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE100179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8A;8B	60_sample-scoped_arrays	YES	1_bulk_accession	Analyzed_separately_from_other_platforms	None_known	No_verified_donor-matching_key	Count_once_at_accession_level;_do_not claim_60_verified_independent_patients	Exploratory_bulk_tissue_support	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE8671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8A;8B	32_verified_normal-adenoma_pairs	YES	1_bulk_accession	Patient_numbers_1_to_32_reconstructed_and_verified	None_known	De-identified_cross-accession_overlap_not_formally_excludable	Count_once_as_32_patient pairs	Paired_bulk_tissue_support	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	TCGA-COAD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8B_auxiliary	458_donors_total;_41_paired_cancer-normal	NO	0_for_adenoma_onset	Independent_TCGA_accession_not_in_early-lesion_meta-analysis	None_known	No_adenoma_endpoint	Count_once_as_auxiliary_cancer cohort	Cancer-normal_and_molecular-context_evidence_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE99573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9A-9C	65_participant_immutable_test_split;_338_total_manifest_rows	YES	1_negative_test_cohort	Training_and_test_split_locked_within_one_accession	Same_accession_across_feasibility_training_and_one-time_test	Test_set_is_not_a_new_dataset_and_is_retired	Count_once;_do_not_count_endpoints_or_training/test_as_multiple cohorts	Negative_exploratory_stool_translation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	E-GEAD-622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10C2-SP;10D-TECH;10E;10E-R;10E-DESC;10F	4_patients;_only_case4_passed_final_ROI_gate	YES	0_successful_multi-patient_spatial cohorts	Same_four_slides_reused_across_all_spatial_substages	All_spatial_substages_share_E-GEAD-622	Cross-accession_overlap_not_demonstrated_but_not_formally_excluded	Count_once_as_one_technical_spatial_dataset;_case4_is_not_external validation	Technical_QC_plus_single-patient_description;_patient-level_spatial result_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	E-GEAD-619	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10C2-SP_audit	2_patients	NO_biological_analysis	0	Audited_as_secondary_source_only	No_M02_biological_result_generated	Possible_source-study_relationship_with_E-GEAD-622;_patient_overlap_not_formally_excluded	Do_not_count_as_evidence	Secondary_candidate_not analyzed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	E-GEAD-579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10C2-SP_audit	1_patient_four_capture_areas	NO_biological_analysis	0	Audited_as_advanced-border_source_only	No_M02_biological_result_generated	One_patient_and_no_early_pair	Do_not_count_as_evidence	Reference-only_not analyzed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dataset_independence	results/stage10h/STAGE10H_DATASET_INDEPENDENCE.tsv	a92d8531ba78d572841509ef7431b4a4805850a17d6d83a25ac44c4da354980a	NA	NA	GSE226997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10C2-SP_audit	4_cancer-only_patients	NO_biological_analysis	0	Audited_as_cancer-only_spatial_source	No_M02_biological_result_generated	No_normal_or_adenoma_regions	Do_not_count_as_early_or_spatial validation	Reference-only_not analyzed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
spatial_limitations	results/stage10h/STAGE10H_SPATIAL_LIMITATION_MATRIX.tsv	c8b0be2588fe4b48e9cc0f2c96a4a9b9a18eb8dcc36efe637339e5f07e7f9440	NA	NA	E-GEAD-622	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S01	10C2-SP_pre-result_gate	Pathology_ROIs_required_expression-blind_registration	Initially_candidate_in_all_four	30/36	TECHNICAL_ELIGIBILITY_PASS	NONE	Eligibility_and_mapping_only	Pre-result_eligibility_did_not_guarantee_successful_barcode-level_ROI_registration	Not_spatial_support	results/stage10c2_sp/STAGE10C2_SP_DECISION.md
spatial_limitations	results/stage10h/STAGE10H_SPATIAL_LIMITATION_MATRIX.tsv	c8b0be2588fe4b48e9cc0f2c96a4a9b9a18eb8dcc36efe637339e5f07e7f9440	NA	NA	E-GEAD-622	pseudo-spots_only	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S02	10D-TECH	NA_real_ROI_outcomes_firewalled	NA	30/36	TECHNICALLY_VALID	NONE_BIOLOGICAL	Technical_performance_only	Pseudo-spots_and_null_modules_are_not_patients_or_real_spatial_replication	Not_spatial_or_biological_evidence	results/stage10d_tech/STAGE10D_TECH_DECISION.md
spatial_limitations	results/stage10h/STAGE10H_SPATIAL_LIMITATION_MATRIX.tsv	c8b0be2588fe4b48e9cc0f2c96a4a9b9a18eb8dcc36efe637339e5f07e7f9440	NA	NA	E-GEAD-622	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S03	case1	FAIL:_agreement_0.6623_kappa_0.0705_below_0.90/0.85	YES:_495_Adenoma_58_Normal_spots	30/36	EXCLUDED_FAIL_REGISTRATION	NONE	QC_failure_record_only	Spot_coverage_cannot_rescue_failed_registration	No_M02_region_comparison	results/stage10e_roi_remediation/STAGE10E_R_PATIENT_ELIGIBILITY.tsv;results/stage10e_roi_remediation/STAGE10E_R_ROI_AGREEMENT.tsv
spatial_limitations	results/stage10h/STAGE10H_SPATIAL_LIMITATION_MATRIX.tsv	c8b0be2588fe4b48e9cc0f2c96a4a9b9a18eb8dcc36efe637339e5f07e7f9440	NA	NA	E-GEAD-622	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	S04	case2	FAIL:_agreement_0.5767_kappa_-0.2684_below_0.90/0.85	NO:_677_Adenoma_0_Normal_spots	30/36	EXCLUDED_FAIL_REGISTRATION	NONE	QC_failure_record_only	No_eligible_Normal_ROI_and_failed_registration	No_M02_region_comparison	results/stage10e_roi_remediation/STAGE10E_R_PATIENT_ELIGIBILITY.tsv;results/stage10e_roi_remediation/STAGE10E_R_ROI_AGREEMENT.tsv
