section	source_file	source_sha256	check_id	component	dataset	estimand_or_check	inferential_unit	n	frozen_value	recomputed_value	absolute_difference	tolerance	status	interpretation	source	claim_id	topic	proposed_or_risky_claim	audit_decision	maximum_allowed_wording	evidence_basis	mandatory_qualifier	placement	issue_id	severity	domain	finding	evidence	risk	required_action	blocks_stage11a
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N11	Stage10C	GSE201348	Stem_progenitor M02 CI low	donor	4	0.0656681391579635	0.0656681391579646	1.10e-15	1e-10	MATCH	95% t interval	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N12	Stage10C	GSE201348	Stem_progenitor M02 CI high	donor	4	1.49132283849212	1.49132283849211	1.00e-14	1e-10	MATCH	95% t interval	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N13	Stage10C	GSE201348	Stem_progenitor M02 P	donor	4	0.0401823051904483	0.0401823051904481	1.73e-16	1e-10	MATCH	Unadjusted two-sided P	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N14	Stage10C	GSE201348	Stem_progenitor M02 FDR	donor	4	0.048218766228538	0.0482187662285377	2.50e-16	1e-10	MATCH	BH across six modules in scope	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N15	Stage7/10C	GSE161277	M02 normal_to_adenoma effect	donor	3	1.64533236894036	1.64533236894036	3.33e-15	1e-10	MATCH	Directional and underpowered	audit/stage10i/recompute/GSE161277_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N16	Stage7/10C	GSE161277	M02 95% CI	donor	3	0.592406218166863_to_2.69825851971386	0.592406218166863_to_2.69825851971386	0	1e-10	MATCH	Three-patient t interval	audit/stage10i/recompute/GSE161277_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N17	Stage7/10C	GSE161277	M02 P	donor	3	0.0214135805203572	0.0214135805203572	3.12e-17	1e-10	MATCH	Unadjusted two-sided P	audit/stage10i/recompute/GSE161277_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N18	Stage7/10C	GSE161277	M02 FDR	donor	3	0.128481483122143	0.128481483122143	2.78e-17	1e-10	MATCH	BH across six modules	audit/stage10i/recompute/GSE161277_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N19	Stage8B	GSE41657;GSE100179;GSE8671	M02 pooled adenoma_vs_normal effect	cohort_effect	3	2.11287939482703	2.11287939482703	2.66e-15	1e-10	MATCH	REML Knapp-Hartung	audit/stage10i/recompute/STAGE8B_META_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N20	Stage8B	GSE41657;GSE100179;GSE8671	M02 pooled 95% CI	cohort_effect	3	1.38879690807021_to_2.83696188158384	1.38879690807021_to_2.83696188158384	0	1e-10	MATCH	High heterogeneity retained	audit/stage10i/recompute/STAGE8B_META_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N21	Stage8B	GSE41657;GSE100179;GSE8671	M02 pooled P and FDR	cohort_effect	3	0.00628413144977775;0.0377047886986665	0.00628413144977775;0.0377047886986665	0	1e-10	MATCH	No matrix pooling	audit/stage10i/recompute/STAGE8B_META_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N22	Stage8B	GSE41657;GSE100179;GSE8671	I2	cohort_effect	3	87.6092612520759	87.6092612520759	1.42e-14	1e-10	MATCH	Substantial heterogeneity	audit/stage10i/recompute/STAGE8B_META_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N23	Stage10E-DESC	E-GEAD-622_case4	Adenoma_minus_Normal descriptive score	patient	1	-0.283954858319903	-0.283954858319910	6.83e-15	1e-10	MATCH	No P CI or FDR by design	audit/stage10i/recompute/STAGE10E_DESC_CASE4_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N24	Stage10H	Integrated evidence matrix	GSE161277 counted once	dataset	1	1	1	0	0	MATCH	No duplicate independent credit	audit/stage10i/recompute/STAGE10H_EVIDENCE_MATRIX_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N25	Stage10H	Integrated evidence matrix	Figshare counted once	dataset	1	1	1	0	0	MATCH	Sensitivity methods not separately counted	audit/stage10i/recompute/STAGE10H_EVIDENCE_MATRIX_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N26	Stage10H	Integrated evidence matrix	Stage10C3 primary status	dataset	1	NOT_ESTIMABLE	NOT_ESTIMABLE	0	0	MATCH	Not converted to negative or positive	audit/stage10i/recompute/STAGE10H_EVIDENCE_MATRIX_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N27	Stage10H	Integrated evidence matrix	Spatial patient-level status	dataset	1	SKIPPED_NOT_ESTIMABLE	SKIPPED_NOT_ESTIMABLE	0	0	MATCH	No spatial-support claim	audit/stage10i/recompute/STAGE10H_EVIDENCE_MATRIX_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N28	Stage8B figure	Three independent bulk accessions	Core figure source-data maximum discrepancy	accession_effect	3	0	0	0	1e-12	MATCH	Re-rendered figure uses exact result-table values	audit/stage10i/recompute/CORE_FIGURE_SOURCE_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C01	Stage6A	A normal-to-adenoma gene program was discovered	PROHIBITED	The prespecified patient-level normal-to-adenoma gene analysis was negative	Zero FDR<0.05 genes in four eligible states	M02 was formed later and post hoc	Abstract and main Results mandatory	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C02	M02 definition	M02 is a colorectal carcinogenesis program	PROHIBITED	M02 is a FAP/adenoma-associated exploratory epithelial stem/progenitor module	Four paired FAP donors plus post-hoc module lock	Not general sporadic CRC	First mention and throughout	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C03	Internal FAP all epithelial	M02 was significant in all epithelium	PROHIBITED	All-epithelial M02 showed trend-level internal FAP support	Effect 1.276;CI 0.243 to 2.310;P 0.0293;FDR 0.0586	Four patients;internal reuse	Main Results	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C04	Internal FAP stem	M02 was validated in stem cells	PROHIBITED	Stem/progenitor M02 showed borderline exploratory support in four paired FAP patients	Effect 0.778;CI 0.066 to 1.491;P 0.0402;FDR 0.0482	Post-hoc and small n	Main Results	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C05	GSE161277	M02 replicated independently	PROHIBITED	M02 was directionally consistent but underpowered in one independent three-patient cohort	Effect 1.645;CI 0.592 to 2.698;FDR 0.128	Count cohort once	Abstract with qualifier and main Results	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C06	Figshare	M02 validated sporadic adenoma	PROHIBITED	Prespecified M02 sensitivities were positive in two matched normal-LST-G donors with unknown hereditary status	Primary 36/36 NOT_ESTIMABLE	LST-G not ordinary sporadic adenoma	Supplementary only	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C07	Bulk	M02 consistently increases through carcinogenesis	PROHIBITED	M02 was adenoma-associated across three separately analyzed bulk cohorts with substantial heterogeneity	Meta effect 2.113;I2 87.6%	Two cohorts have unverified patient identities	Main Results with heterogeneity	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C08	GSE8671	M02 is higher in paired adenoma	ALLOWED_WITH_LIMITS	M02 bulk expression was higher in adenoma than matched normal tissue in 32 verified pairs	Paired bulk effect 1.846;CI 1.666 to 2.026	Bulk tissue not epithelial specific;hereditary status unresolved	Main Results	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C09	Cancer context	M02 proves adenoma-to-cancer progression	PROHIBITED	M02 differed at cancer-versus-normal endpoints in auxiliary cohorts	GSE132465 and TCGA cancer-normal results	No adenoma initiation inference	Secondary main or supplement	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C10	Stool	M02 is a stool biomarker	PROHIBITED	The locked stool model did not show useful independent-test discrimination	Adenoma AUC 0.500;cancer AUC 0.500;composite AUC 0.530	Test set used once and retired	Main evidence summary;details supplement	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C11	Spatial technical	Pseudo-spots provide spatial validation	PROHIBITED	The frozen 30-gene implementation was technically usable in pseudo-spots	Stage10D technical decision	No biological patient inference	Methods or supplement	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C12	case4	M02 received spatial support	PROHIBITED	In case4 only the frozen ROI descriptive score was lower in adenoma than normal and method-dependent	N=1;30/36;delta -0.284	No P CI FDR;not external validation	Supplementary only	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C13	case3	case3 nearly validated M02	PROHIBITED	case3 failed the prespecified ROI registration gate	Agreement and kappa below frozen thresholds	No biological evidence	QC supplement only	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C14	Stage10F	Spatial analysis was negative	PROHIBITED	Patient-level spatial generalization was not estimable because too few patients passed ROI registration	1 eligible of required 3	NOT_ESTIMABLE is not negative	Main limitation	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C15	Stage10G	Spatial mechanism was absent	PROHIBITED	Mechanism analysis was not performed because the Stage10F gate was not met	Stage10G skipped	No mechanistic inference	Methods/limitations	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C16	Integrated conclusion	Multiple positive analyses validate M02	PROHIBITED	The locked exploratory module showed limited cross-dataset directional evidence with substantial etiologic and technical uncertainty	Level C evidence matrix	Do not vote by methods or sensitivity analyses	Abstract conclusion and Discussion	NA	NA	NA	NA	NA	NA	NA	NA
final_claim_audit	audit/stage10i/STAGE10I_FINAL_CLAIM_AUDIT.tsv	e869539f6b6771e96f0b63bfa60ecd910541275689b4ccd1e6c0ae6a164ba712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	C17	Manuscript type	Validation or biomarker study	PROHIBITED	Exploratory cross-dataset transcriptomic evaluation	Stage10H and Stage10I governance	BMC Genomics is aspirational	Title abstract cover letter	NA	NA	NA	NA	NA	NA	NA	NA
issue_disposition	audit/stage10i/STAGE10I_ISSUES.tsv	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPEN_REFRAMING_REQUIRED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I01	MAJOR	HARKing	The prespecified Stage 6A analysis was negative and M02 was formed afterward in an exploratory stage-blind amendment.	Stage 6A recount: zero FDR<0.05 genes in all four eligible epithelial states.	A manuscript centered on M02 as the original discovery would be post-hoc rescue.	Lead with the negative primary result and label M02 post-hoc and exploratory at first mention.	YES
issue_disposition	audit/stage10i/STAGE10I_ISSUES.tsv	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPEN_REFRAMING_REQUIRED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I02	MAJOR	claim drift	Historical Stage 7 language can be read as replication although GSE161277 has three patients and M02 FDR=0.128.	Recomputed effect 1.6453; 95% CI 0.5924 to 2.6983; P=0.02141; FDR=0.12848; n=3.	Overstates independent validation.	Use directional and underpowered only; count GSE161277 once.	YES
issue_disposition	audit/stage10i/STAGE10I_ISSUES.tsv	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPEN_REFRAMING_REQUIRED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I03	MAJOR	bulk independence	GSE41657 and GSE100179 patient identities cannot be verified.	88 and 60 sample-scoped arrays respectively; no verified donor key.	Sample counts could be misreported as patient counts and overstate evidence.	Report accession-level sample units and state that patient independence is unresolved.	YES
issue_disposition	audit/stage10i/STAGE10I_ISSUES.tsv	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPEN_REFRAMING_REQUIRED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I04	MAJOR	bulk heterogeneity	The M02 adenoma-versus-normal meta-analysis has substantial heterogeneity.	I2=87.61%; Q=17.987; Q P=0.000124; tau2=0.07566.	A pooled positive value alone would conceal non-interchangeable platform effects.	Always report heterogeneity beside the pooled effect and avoid universal progression claims.	YES
issue_disposition	audit/stage10i/STAGE10I_ISSUES.tsv	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPEN_REFRAMING_REQUIRED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I05	MAJOR	Figshare evidence	Figshare 29925404 primary 36/36 M02 is NOT_ESTIMABLE; only prespecified sensitivity scores are positive in two LST-G donors.	Missing AL022068.1, AP001636.3 and LINC01748; FAP/APC unknown.	Could be misrepresented as sporadic adenoma validation.	Keep supplementary and sensitivity-only; explicitly state LST-G and unknown hereditary status.	YES
issue_disposition	audit/stage10i/STAGE10I_ISSUES.tsv	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPEN_REFRAMING_REQUIRED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I06	MAJOR	spatial evidence	Only case4 passed ROI registration; Stage 10F and 10G were skipped.	case4 n=1, 30/36, delta=-0.28395, decision DESCRIPTIVE_METHOD_DEPENDENT.	Any spatial-support or mechanistic wording would be false.	Keep case4 descriptive only; exclude case3; state multi-patient spatial inference was not estimable.	YES
issue_disposition	audit/stage10i/STAGE10I_ISSUES.tsv	5ec757a1d064a6fc9a0c9e6ee136356f69c5fb02cc29e49d4c5dc197a567c2c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	OPEN_REFRAMING_REQUIRED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	I07	MAJOR	story coherence	The project contains many branches but limited reliable independent early-lesion evidence.	One independent three-patient directional cohort; one sensitivity-only LST-G cohort; no multi-patient spatial result.	Editorial perception of tool stacking or fragmented database mining.	Reorganize around the evidence-audit question and evidence hierarchy rather than analysis count.	YES
