script_id	stage	analysis_role	original_path	release_path	original_sha256	release_sha256	direct_literal_inputs	stage_scoped_outputs	stage_scoped_figures	claim_ids	private_paths_sanitized_in_release_copy	mapping_basis
F0402	Stage5C	sensitivity_or_validation	scripts/05C_blind_ambiguous_marker_audit.R	scripts/05C_blind_ambiguous_marker_audit.R	dfea5120da116975a3a9b5596eb88c05413975bd177b51248dd19247f04f857c	dfea5120da116975a3a9b5596eb88c05413975bd177b51248dd19247f04f857c	results/05C_annotation/major_ambiguous_cluster_blind_audit.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0403	Stage5C	sensitivity_or_validation	scripts/05C_descriptive_audit.R	scripts/05C_descriptive_audit.R	269d1625e8f9875627bc64b56baa8c69c6339429d3d1d9775698f2f145f1ce48	269d1625e8f9875627bc64b56baa8c69c6339429d3d1d9775698f2f145f1ce48	See stage-scoped inputs and script source	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0404	Stage5C	main_or_supporting	scripts/05C_finalize_annotations.R	scripts/05C_finalize_annotations.R	b0cc19e9cfc0aa4cba0963a088a4b456fe374b27a21824df04ec18b5505a0a79	b0cc19e9cfc0aa4cba0963a088a4b456fe374b27a21824df04ec18b5505a0a79	config/annotation_parameters.tsv;config/epithelial_cluster_annotation.tsv;metadata/annotation_evidence.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0405	Stage5C	main_or_supporting	scripts/05C_inspect_copykat_install.R	scripts/05C_inspect_copykat_install.R	0ef126e558116dcb791f875c21cd41dbcc1922b82e7198d22d37c4641c1401ad	0ef126e558116dcb791f875c21cd41dbcc1922b82e7198d22d37c4641c1401ad	See stage-scoped inputs and script source	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0406	Stage5C	main_or_supporting	scripts/05C_install_copykat.R	scripts/05C_install_copykat.R	b6d1688f5e989b96f08d540adbeff815b9d69abe64bcde91bec2e5bdf43772c7	b6d1688f5e989b96f08d540adbeff815b9d69abe64bcde91bec2e5bdf43772c7	config/annotation_parameters.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0407	Stage5C	main_or_supporting	scripts/05C_major_annotation_discovery.R	scripts/05C_major_annotation_discovery.R	2bceaedf13cbff8a8020698b18263c7c91b34a2185bceb2824cb97d58722c237	2bceaedf13cbff8a8020698b18263c7c91b34a2185bceb2824cb97d58722c237	config/annotation_parameters.tsv;metadata/annotation_evidence.tsv;results/05C_annotation/major_cluster_markers.tsv.gz;results/05C_annotation/major_cluster_review_blinded.tsv;results/05C_annotation/major_signature_scores.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0408	Stage5C	main_or_supporting	scripts/05C_prepare_copykat_inputs.R	scripts/05C_prepare_copykat_inputs.R	aa62f8d83c6ff76911d36457ff23b086ccb56674f3866881b5aeadbfa73fa461	aa62f8d83c6ff76911d36457ff23b086ccb56674f3866881b5aeadbfa73fa461	config/annotation_parameters.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0409	Stage5C	main_or_supporting	scripts/05C_regenerate_copykat_barplot.R	scripts/05C_regenerate_copykat_barplot.R	bbf4037c5b8f192eadd7e0d581c2e78fe89ebe4666ed00477a22df40fcb4dfa5	bbf4037c5b8f192eadd7e0d581c2e78fe89ebe4666ed00477a22df40fcb4dfa5	See stage-scoped inputs and script source	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0410	Stage5C	main_or_supporting	scripts/05C_remote_preflight.sh	scripts/05C_remote_preflight.sh	e091edb8851fc09cf40df7a196b215f5365d666a005a04759b97ed74f3d94f15	e091edb8851fc09cf40df7a196b215f5365d666a005a04759b97ed74f3d94f15	AGENTS.md;reports/stage_5B_full_qc_integration.md	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0411	Stage5C	main_or_supporting	scripts/05C_run_copykat_all.sh	scripts/05C_run_copykat_all.sh	1c67860ad783775a65853079f0d0d3e831b7a38c4bb9cf094b41211154f5d9af	1c67860ad783775a65853079f0d0d3e831b7a38c4bb9cf094b41211154f5d9af	config/annotation_parameters.tsv;scripts/05C_install_copykat.R;scripts/05C_run_copykat_sample.R;scripts/05C_summarize_copykat.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0412	Stage5C	main_or_supporting	scripts/05C_run_copykat_prepare.sh	scripts/05C_run_copykat_prepare.sh	c7ca181a76e47a816648d67fd53f0f6d260e6052d9fdc29b55127b9e6eff3783	c7ca181a76e47a816648d67fd53f0f6d260e6052d9fdc29b55127b9e6eff3783	scripts/05C_prepare_copykat_inputs.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0413	Stage5C	main_or_supporting	scripts/05C_run_copykat_sample.R	scripts/05C_run_copykat_sample.R	ee1859515e872d114c97b674f5f21705fb3728858e9adf940b0c2af4657b36e8	ee1859515e872d114c97b674f5f21705fb3728858e9adf940b0c2af4657b36e8	config/annotation_parameters.tsv;scripts/05C_prepare_copykat_inputs.R;scripts/05C_run_copykat_sample.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0414	Stage5C	main_or_supporting	scripts/05C_run_copykat_summary.sh	scripts/05C_run_copykat_summary.sh	597c42a1074ec5fa3746cbc150650002f4bc1beffb050b35870156b0a9e97440	597c42a1074ec5fa3746cbc150650002f4bc1beffb050b35870156b0a9e97440	scripts/05C_summarize_copykat.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0415	Stage5C	main_or_supporting	scripts/05C_run_epithelial_discovery.sh	scripts/05C_run_epithelial_discovery.sh	6ac8523042a2115e7bafc44b6e284e039285781642c2b4d3ec0ef1e6fbe96152	6ac8523042a2115e7bafc44b6e284e039285781642c2b4d3ec0ef1e6fbe96152	scripts/05C_apply_major_epithelial_discovery.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0416	Stage5C	main_or_supporting	scripts/05C_run_finalize_annotations.sh	scripts/05C_run_finalize_annotations.sh	4030431132d474613cd2ea6a4eaa8bcc9e2d5111eb48d83594f599d742c0ac9c	4030431132d474613cd2ea6a4eaa8bcc9e2d5111eb48d83594f599d742c0ac9c	scripts/05C_finalize_annotations.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0417	Stage5C	main_or_supporting	scripts/05C_run_major.sh	scripts/05C_run_major.sh	01bc42672ee54e8c596df67defd834951a4b50c0af20943c345ca1275ed23209	01bc42672ee54e8c596df67defd834951a4b50c0af20943c345ca1275ed23209	scripts/05C_major_annotation_discovery.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0418	Stage5C	sensitivity_or_validation	scripts/05C_run_validation.sh	scripts/05C_run_validation.sh	399a03f097ab321a7f8fdf4b710a1427ff6bd62d32f785fcbb1e23daaf737f24	399a03f097ab321a7f8fdf4b710a1427ff6bd62d32f785fcbb1e23daaf737f24	scripts/05C_validate_outputs.R	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0419	Stage5C	main_or_supporting	scripts/05C_runtime_preflight.R	scripts/05C_runtime_preflight.R	b1207a92d729c1be1d7b9bec04c05cb254938dae6ab226c4ef1bc8a6a7f3114f	b1207a92d729c1be1d7b9bec04c05cb254938dae6ab226c4ef1bc8a6a7f3114f	config/annotation_parameters.tsv;metadata/annotation_evidence.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0420	Stage5C	main_or_supporting	scripts/05C_summarize_copykat.R	scripts/05C_summarize_copykat.R	8974b94f92ab72c59dd33cdcb2dc263b8cac905b30c4a9c6f4741e6339b1d8f2	8974b94f92ab72c59dd33cdcb2dc263b8cac905b30c4a9c6f4741e6339b1d8f2	config/annotation_parameters.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0421	Stage5C	sensitivity_or_validation	scripts/05C_validate_outputs.R	scripts/05C_validate_outputs.R	058ff56a93034373dd2cf2d00068ce9fd4c396842b08cedac61685612193fa0d	058ff56a93034373dd2cf2d00068ce9fd4c396842b08cedac61685612193fa0d	config/annotation_parameters.tsv;config/epithelial_cluster_annotation.tsv;config/major_cluster_annotation.tsv;metadata/annotation_evidence.tsv;results/05B_full_qc_integration/validation_checks.tsv;results/05C_annotation/epithelial_cluster_composition.tsv;results/05C_annotation/epithelial_cluster_markers.tsv.gz;results/05C_annotation/epithelial_signature_scores.tsv;results/05C_annotation/major_cluster_markers.tsv.gz;results/05C_annotation/major_signature_scores.tsv;results/05C_annotation/source_data/epithelial_marker_dotplot_source.tsv.gz;results/05C_annotation/source_data/epithelial_umap_source.tsv.gz	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0422	Stage6A	main_or_supporting	scripts/06A_amendment_exploratory.R	scripts/06A_amendment_exploratory.R	3b77a40415e8bbfee7f3c00c1bfef87f81330337bb5c2e8c6ee3795541cab7e5	3b77a40415e8bbfee7f3c00c1bfef87f81330337bb5c2e8c6ee3795541cab7e5	config/06A_amendment_parameters.tsv;logs_summary/stage_6A_amendment_key_metrics.tsv;reports/stage_6A_exploratory_amendment.md	config/06A_amendment_parameters.tsv;config/06A_pseudobulk_parameters.tsv;figures_final/stage_6A_paired_FAP_gene_hits.pdf;figures_final/stage_6A_paired_FAP_gene_hits.png;figures_final/stage_6A_paired_FAP_gene_hits_source_data.tsv;figures_final/stage_6A_top_stage_blind_module_effects.pdf;figures_final/stage_6A_top_stage_blind_module_effects.png;figures_final/stage_6A_top_stage_blind_module_effects_source_data.tsv;logs_summary/stage_6A_amendment_independent_acceptance.tsv;logs_summary/stage_6A_amendment_key_metrics.tsv;logs_summary/stage_6A_amendment_validation_checks.tsv;logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_independent_validation_checks.tsv;logs_summary/stage_6A_key_metrics.tsv;logs_summary/stage_6A_model_covariate_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv;logs_summary/stage_6A_paired_FAP_state_audit.tsv;logs_summary/stage_6A_stage_blind_module_audit.tsv;logs_summary/stage_6A_validation_checks.tsv;reports/stage_6A_exploratory_amendment.md;reports/stage_6A_pseudobulk_discovery.md;results_final/stage_6A_exploratory_candidate_modules.tsv;results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv;results_final/stage_6A_stage_blind_module_membership.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/pseudobulk_results.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/software_versions.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0423	Stage6A	main_or_supporting	scripts/06A_amendment_smoke_test.R	scripts/06A_amendment_smoke_test.R	00ea1ce9ac58dc7f9404f1ae90caeb7f16a5d714ad8ac3bc8edb05f395127604	00ea1ce9ac58dc7f9404f1ae90caeb7f16a5d714ad8ac3bc8edb05f395127604	See stage-scoped inputs and script source	config/06A_amendment_parameters.tsv;config/06A_pseudobulk_parameters.tsv;figures_final/stage_6A_paired_FAP_gene_hits.pdf;figures_final/stage_6A_paired_FAP_gene_hits.png;figures_final/stage_6A_paired_FAP_gene_hits_source_data.tsv;figures_final/stage_6A_top_stage_blind_module_effects.pdf;figures_final/stage_6A_top_stage_blind_module_effects.png;figures_final/stage_6A_top_stage_blind_module_effects_source_data.tsv;logs_summary/stage_6A_amendment_independent_acceptance.tsv;logs_summary/stage_6A_amendment_key_metrics.tsv;logs_summary/stage_6A_amendment_validation_checks.tsv;logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_independent_validation_checks.tsv;logs_summary/stage_6A_key_metrics.tsv;logs_summary/stage_6A_model_covariate_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv;logs_summary/stage_6A_paired_FAP_state_audit.tsv;logs_summary/stage_6A_stage_blind_module_audit.tsv;logs_summary/stage_6A_validation_checks.tsv;reports/stage_6A_exploratory_amendment.md;reports/stage_6A_pseudobulk_discovery.md;results_final/stage_6A_exploratory_candidate_modules.tsv;results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv;results_final/stage_6A_stage_blind_module_membership.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/pseudobulk_results.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/software_versions.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0424	Stage6A	sensitivity_or_validation	scripts/06A_independent_audit.R	scripts/06A_independent_audit.R	8cfed7522d6c42dccdfafd44446b71c2b8bc30cc2fbb65b45d27dd1fc01d7f0f	8cfed7522d6c42dccdfafd44446b71c2b8bc30cc2fbb65b45d27dd1fc01d7f0f	config/06A_pseudobulk_parameters.tsv;results/05B_full_qc_integration/validation_checks.tsv	config/06A_amendment_parameters.tsv;config/06A_pseudobulk_parameters.tsv;figures_final/stage_6A_paired_FAP_gene_hits.pdf;figures_final/stage_6A_paired_FAP_gene_hits.png;figures_final/stage_6A_paired_FAP_gene_hits_source_data.tsv;figures_final/stage_6A_top_stage_blind_module_effects.pdf;figures_final/stage_6A_top_stage_blind_module_effects.png;figures_final/stage_6A_top_stage_blind_module_effects_source_data.tsv;logs_summary/stage_6A_amendment_independent_acceptance.tsv;logs_summary/stage_6A_amendment_key_metrics.tsv;logs_summary/stage_6A_amendment_validation_checks.tsv;logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_independent_validation_checks.tsv;logs_summary/stage_6A_key_metrics.tsv;logs_summary/stage_6A_model_covariate_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv;logs_summary/stage_6A_paired_FAP_state_audit.tsv;logs_summary/stage_6A_stage_blind_module_audit.tsv;logs_summary/stage_6A_validation_checks.tsv;reports/stage_6A_exploratory_amendment.md;reports/stage_6A_pseudobulk_discovery.md;results_final/stage_6A_exploratory_candidate_modules.tsv;results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv;results_final/stage_6A_stage_blind_module_membership.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/pseudobulk_results.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/software_versions.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0425	Stage6A	main_or_supporting	scripts/06A_preflight.R	scripts/06A_preflight.R	cf842c60317c9c3930f799ea122bfc824dcccb778d2bbb50ffe268cd30eecce4	cf842c60317c9c3930f799ea122bfc824dcccb778d2bbb50ffe268cd30eecce4	See stage-scoped inputs and script source	config/06A_amendment_parameters.tsv;config/06A_pseudobulk_parameters.tsv;figures_final/stage_6A_paired_FAP_gene_hits.pdf;figures_final/stage_6A_paired_FAP_gene_hits.png;figures_final/stage_6A_paired_FAP_gene_hits_source_data.tsv;figures_final/stage_6A_top_stage_blind_module_effects.pdf;figures_final/stage_6A_top_stage_blind_module_effects.png;figures_final/stage_6A_top_stage_blind_module_effects_source_data.tsv;logs_summary/stage_6A_amendment_independent_acceptance.tsv;logs_summary/stage_6A_amendment_key_metrics.tsv;logs_summary/stage_6A_amendment_validation_checks.tsv;logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_independent_validation_checks.tsv;logs_summary/stage_6A_key_metrics.tsv;logs_summary/stage_6A_model_covariate_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv;logs_summary/stage_6A_paired_FAP_state_audit.tsv;logs_summary/stage_6A_stage_blind_module_audit.tsv;logs_summary/stage_6A_validation_checks.tsv;reports/stage_6A_exploratory_amendment.md;reports/stage_6A_pseudobulk_discovery.md;results_final/stage_6A_exploratory_candidate_modules.tsv;results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv;results_final/stage_6A_stage_blind_module_membership.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/pseudobulk_results.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/software_versions.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0426	Stage6A	main_or_supporting	scripts/06A_pseudobulk_discovery.R	scripts/06A_pseudobulk_discovery.R	41ec38f320b63da7765dd63962a8b6912e400566dcdf5110c62d27204480f9c1	41ec38f320b63da7765dd63962a8b6912e400566dcdf5110c62d27204480f9c1	STATUS.md;config/06A_pseudobulk_parameters.tsv;logs_summary/stage_6A_key_metrics.tsv;reports/stage_6A_pseudobulk_discovery.md;result_registry.tsv	config/06A_amendment_parameters.tsv;config/06A_pseudobulk_parameters.tsv;figures_final/stage_6A_paired_FAP_gene_hits.pdf;figures_final/stage_6A_paired_FAP_gene_hits.png;figures_final/stage_6A_paired_FAP_gene_hits_source_data.tsv;figures_final/stage_6A_top_stage_blind_module_effects.pdf;figures_final/stage_6A_top_stage_blind_module_effects.png;figures_final/stage_6A_top_stage_blind_module_effects_source_data.tsv;logs_summary/stage_6A_amendment_independent_acceptance.tsv;logs_summary/stage_6A_amendment_key_metrics.tsv;logs_summary/stage_6A_amendment_validation_checks.tsv;logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_independent_validation_checks.tsv;logs_summary/stage_6A_key_metrics.tsv;logs_summary/stage_6A_model_covariate_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv;logs_summary/stage_6A_paired_FAP_state_audit.tsv;logs_summary/stage_6A_stage_blind_module_audit.tsv;logs_summary/stage_6A_validation_checks.tsv;reports/stage_6A_exploratory_amendment.md;reports/stage_6A_pseudobulk_discovery.md;results_final/stage_6A_exploratory_candidate_modules.tsv;results_final/stage_6A_paired_FAP_gene_LODO_summary.tsv;results_final/stage_6A_stage_blind_module_membership.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/pseudobulk_results.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/software_versions.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
